DATE,WILL5000INDFC_PCH,NGDPNSAXDCUSQ_PCH,PPIACO_PCH,FEDFUNDS_PCH,M2SL_PCH,U4RATE_PCH,CIVPART_PCH,BOGZ1FL010000336Q_PCH,GFDEGDQ188S_CH1,CORESTICKM159SFRBATL_PCH,M2V_PCH,CPALTT01USM657N_PCH
10/1/1979,2.89482,6.54222,3.50438,24.02558,1.48772,.,0.15707,1.42278,-0.83591,10.82252,0.59588,-11.40194
1/1/1980,4.3406,-2.59846,4.63523,10.8274,1.75227,.,0.2091,-0.22015,-0.58619,15.26759,0.6462,56.64052
4/1/1980,-1.55493,2.19526,2.00308,-15.68454,1.48757,.,-0.15649,1.07959,0.31026,10.25878,-1.1771,-26.49282
7/1/1980,16.72002,1.3028,3.2855,-22.46453,3.02177,.,-0.15674,0.50625,0.79285,-11.18227,-0.86627,-51.24232
10/1/1980,10.31471,8.45506,2.30347,61.16571,2.12348,.,0,-1.43138,0.13085,-4.54189,2.34844,73.29406
1/1/1981,-0.60609,-1.13432,3.03788,4.52061,1.71115,.,0.41863,-3.82729,-0.07698,-13.10457,2.88154,-6.82966
4/1/1981,4.15596,4.31353,2.2546,7.30235,2.70454,.,0.15633,1.32551,-0.66428,-14.99289,-1.45228,-6.87176
7/1/1981,-4.08218,2.54305,0.67843,-1.14361,1.77223,.,-0.57232,-0.99552,-1.17354,23.53074,1.31579,20.75021
10/1/1981,-2.00025,4.11417,-0.10108,-22.70055,2.58156,.,0.10466,1.43607,0.19887,-10.3193,-1.92208,-69.89257
1/1/1982,-6.68872,-4.89165,0.8769,4.7105,2.2634,.,0,0.46118,1.54014,-11.8168,-2.43644,-37.89745
4/1/1982,0.70513,3.45185,0.1003,2.015,2.1364,.,0.36592,-0.20557,1.69338,-3.14675,-0.32573,393.67637
7/1/1982,0.50647,0.36923,0.4342,-24.16169,1.64913,.,0.10417,-0.39723,3.32197,-21.54217,-0.59913,-64.74048
10/1/1982,22.54138,4.73957,0.09977,-15.62689,2.24386,.,0.10406,1.08861,3.82569,-25.48367,-1.15068,-133.00486
1/1/1983,10.41482,-2.71153,0.03322,-6.81981,5.51482,.,-0.51975,-2.44929,3.41613,-10.52812,-3.27051,-200.58069
4/1/1983,12.84211,5.29269,0.36533,1.73344,2.57561,.,0.20899,0.11144,4.46954,-23.47762,0.45845,429.33785
7/1/1983,3.00193,2.35965,0.95963,7.4593,1.58036,.,0.46924,0.36136,3.4058,-25.08813,1.48317,-26.11646
10/1/1983,-0.24167,6.02706,0.49164,-0.31712,1.81614,.,-0.25947,0.73509,1.99397,39.15308,1.0118,-50.49176
1/1/1984,-3.47637,-0.91072,1.10894,2.72181,2.15627,.,-0.05203,-1.14749,1.62536,20.81147,0.83472,114.92941
4/1/1984,-2.81703,4.13146,0.67742,8.98142,2.15248,.,0.67673,0.93743,0.8552,3.49368,0.4415,-16.4161
7/1/1984,3.93258,0.92122,-0.22429,7.89391,1.32206,.,0,1.06594,1.16476,6.56749,0.49451,16.84677
